regime,window_set,feature_set,model,config_name,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,1,57,37196,8469,19,5,0.6038493328610226,0.5748502994011976,0.028402366863905324,0.9860483395559049,0.05413025091626727,0.6687889879668527,0.5247719641808497,5018,71,3284,96
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,2,57,37124,8541,19,5,0.7644303945673808,0.16304347826086957,0.015889830508474576,0.9768525477228318,0.02895752895752896,0.5395045277140171,0.2383052304340058,6499,154,1858,30
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,3,57,36958,8707,20,4,0.5933157229815091,0.35319148936170214,0.07468506298740252,0.9151312116136237,0.12329784600148552,0.5122000167247399,0.3834300502830872,4917,456,3085,249
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,4,57,35832,9833,19,5,0.7660937658903691,0.13613861386138615,0.06425233644859812,0.9140499938431228,0.0873015873015873,0.47691343660775626,0.16074184629918153,7423,698,1602,110
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,5,57,35550,10115,19,5,0.7650024715768661,0.30201342281879195,0.019413287316652286,0.9866615364883929,0.03648155654641265,0.47865476235135235,0.22648194252852386,7693,104,2273,45
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,1,46,78099,14384,20,4,0.6744994438264739,0.23455451983524822,0.4845499328257949,0.7094066331989136,0.3160969909436167,0.6335551011468135,0.2153347694808697,8620,3531,1151,1082
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,2,46,68833,23650,18,6,0.5778012684989429,0.07501044713748432,0.38831800973499186,0.5938718407412504,0.12573329831013047,0.4916159987798575,0.08215617223554617,12947,8854,1131,718
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,3,46,71526,20957,19,5,0.7137949133940926,0.36435260888954957,0.5873472322070453,0.7452335557673975,0.44972477064220184,0.6874195955227178,0.3880907744333367,12508,4276,1722,2451
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,4,46,78385,14098,20,4,0.6878280607178323,0.31481949002777077,0.42501704158145875,0.7568971694733071,0.36171138506163886,0.622230498776743,0.2986148312323277,8450,2714,1687,1247
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,5,46,73089,19394,19,5,0.6470557904506549,0.19423708569722306,0.47326300472899235,0.6757584860318414,0.2754313538689531,0.5907761537798337,0.18840608395838204,11248,5397,1448,1301
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,1,46,78099,14384,20,4,0.678392658509455,0.2316662928907827,0.4626063591580833,0.7180478972924039,0.30872683801554096,0.6262467621288663,0.2124202522500115,8725,3426,1200,1033
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,2,46,68833,23650,18,6,0.591754756871036,0.07288246881155613,0.36019469983775015,0.6113939727535435,0.12123418585601164,0.48931909013556396,0.07879539324220904,13329,8472,1183,666
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,3,46,71526,20957,19,5,0.7203798253566828,0.36532013412102826,0.5482866043613707,0.7631673021925643,0.43848217707934073,0.6771348541637112,0.36513085932746886,12809,3975,1885,2288
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,4,46,78385,14098,20,4,0.6854163711164705,0.30002664535038637,0.3837764144512611,0.7646900752418488,0.3367728428293704,0.5992527867961998,0.2770241567956109,8537,2627,1808,1126
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,5,46,73089,19394,19,5,0.6484995359389502,0.2014092777451556,0.4990905783921426,0.6731751276659658,0.2869992678590106,0.6090402900270898,0.1944470358410947,11205,5440,1377,1372
exclude_ucddb005_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,1,46,78099,14384,20,4,0.8414905450500556,0.18666666666666668,0.006269592476489028,0.9949798370504486,0.012131715771230503,0.6034809111780215,0.1997683483687163,12090,61,2219,14
exclude_ucddb005_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,2,46,68833,23650,18,6,0.9123044397463003,0.0622568093385214,0.008653326122228232,0.9889454612173754,0.015194681861348529,0.4872641310855266,0.07539557930109755,21560,241,1833,16
exclude_ucddb005_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,3,46,71526,20957,19,5,0.8007825547549745,0.49,0.011742151929067817,0.996961391801716,0.02293470629534285,0.6430396864449544,0.31439923575334794,16733,51,4124,49
exclude_ucddb005_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,4,46,78385,14098,20,4,0.7906085969641083,0.25,0.003067484662576687,0.9975815120028664,0.006060606060606061,0.5947426141138732,0.2611969942385556,11137,27,2925,9
exclude_ucddb005_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,5,46,73089,19394,19,5,0.8454161080746623,0.16076294277929154,0.021462349945434705,0.9814959447281466,0.037869062901155326,0.6145395999156852,0.18382752217202877,16337,308,2690,59
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,1,57,78099,14384,20,4,0.6798526140155728,0.22571692876965774,0.43708016121809223,0.7244671220475681,0.2976971175842611,0.6299137480479161,0.2129828815690065,8803,3348,1257,976
