regime,experiment,model,config_name,n_features,accuracy_mean,accuracy_std,precision_mean,precision_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,tn_mean,fp_mean,fn_mean,tp_mean
all_epochs,advanced_full,XGBoost,config_1,260,0.7202459154406363,0.08307141174359674,0.2882019733728943,0.15443720165853222,0.3616908788079085,0.24847161498536519,0.7852839194233728,0.13464077628137425,0.3117398677731415,0.18559858714306213,0.5955412271323544,0.08988415488180353,0.28288657152114255,0.17715127236517364,2632.0,694.2,472.0,360.4
all_epochs,advanced_full,XGBoost,config_2,260,0.7176371854712332,0.07934331631064885,0.2901736180826332,0.15689214134767476,0.3725332892878192,0.24198202988390685,0.7795275483268294,0.12610226110432732,0.31919991446707374,0.18512910207457337,0.6008656977653922,0.09421150521523279,0.2904797708982848,0.17898884225797207,2611.8,714.4,463.0,369.4
all_epochs,advanced_full,XGBoost,config_3,260,0.7049665012769003,0.09160285102828578,0.28793498015249,0.13135565080487802,0.4003472827067614,0.24729205317322894,0.7532407518630813,0.14822889540126066,0.3278242916170135,0.16885495654608038,0.598603282821921,0.08580473140705468,0.2924941615028964,0.171982778453375,2536.0,790.2,438.4,394.0
all_epochs,advanced_full,XGBoost,config_4,260,0.704707826704662,0.09154412462162503,0.2867527004888518,0.12968627386429402,0.4024636620212549,0.25690072136469244,0.7507440741140423,0.1520842635351535,0.3271294633172583,0.1717540916473971,0.6001176719126735,0.0895787155175811,0.29608116706086246,0.17093318611697084,2530.4,795.8,433.8,398.6
all_epochs,advanced_full,XGBoost,config_5,260,0.7291922225163237,0.07579778435910288,0.29285752808956295,0.17086342085070466,0.3196523932167213,0.20924643365011109,0.8128230932705568,0.1134442079009708,0.2972988039115677,0.17639586526947715,0.5927068578023238,0.09088767678504725,0.28308410560744507,0.17553015555313062,2714.4,611.8,517.0,315.4
all_epochs,advanced_full,XGBoost,config_6,260,0.7183671970302146,0.08739577319760693,0.2925482099721703,0.14809042822327473,0.38650066669288907,0.26238176283667886,0.7740157221171685,0.14369189488583786,0.32447667948240316,0.1868970484035283,0.6006764594595169,0.0929231554873453,0.294680107058617,0.17503337244977213,2599.8,726.4,447.4,385.0
all_epochs,advanced_late_fusion,XGBoost,config_1,260,0.7390374844285581,0.07119148894445106,0.314488853829702,0.13580388208954877,0.34450360309336164,0.21789221594797828,0.8136526192668958,0.10625110918211753,0.3184275223822785,0.1762708669560902,0.6181878396551834,0.08315287544250036,0.3038050726776796,0.1594720620652145,2729.6,596.6,490.2,342.2
all_epochs,advanced_late_fusion,XGBoost,config_2,260,0.7433166438428576,0.07194379658637005,0.3167485069761656,0.13872039351578122,0.34885081538159146,0.23104935130962048,0.8166514912798128,0.1093347825588778,0.3205278218222486,0.1867392209824421,0.621874175059633,0.08650272894907168,0.30812529182855797,0.1708530770494962,2740.8,585.4,483.6,348.8
all_epochs,advanced_late_fusion,XGBoost,config_3,260,0.7192781356958028,0.07917674397606324,0.3090961208668741,0.12611602496648017,0.40186745014559594,0.24667508362787938,0.769483617146552,0.13000575370966178,0.3370174453200788,0.17476175159459018,0.6218612321717663,0.09301013086469317,0.31320810766367096,0.1815919728266026,2591.4,734.8,434.4,398.0
all_epochs,advanced_late_fusion,XGBoost,config_4,260,0.7183320017051609,0.08238581530552933,0.31006803751706385,0.12337382235382723,0.4073410460839234,0.25121528023587203,0.7660703057685996,0.13642240007865453,0.33873186283554446,0.17402676867112285,0.6212686575290322,0.09491422766577942,0.3148269545830063,0.1837327059811958,2581.8,744.4,428.6,403.8
all_epochs,advanced_late_fusion,XGBoost,config_5,260,0.7557519893715596,0.06467746589546497,0.3203971193992101,0.15390502216904703,0.29501567103432047,0.19896249217793216,0.8507085650317403,0.0856058225459028,0.2975102727972544,0.18249201505066057,0.6207252254485475,0.08504259015927519,0.30411723852879846,0.17398537224657035,2846.0,480.2,536.4,296.0
all_epochs,advanced_late_fusion,XGBoost,config_6,260,0.7308424934066202,0.07626099606860438,0.3141778167587031,0.12548276471979344,0.38285867419951003,0.24622583477479962,0.789529834677363,0.12567347210976468,0.33160951148935686,0.1802711551866868,0.6226014753534298,0.0899315611156228,0.30921053618112604,0.17523359345065617,2656.4,669.8,451.0,381.4
all_epochs,advanced_respiratory,XGBoost,config_1,152,0.6802292141096445,0.05421461883843971,0.2745434685273839,0.13915310240369622,0.39553694210928053,0.14087107036534663,0.7368071010373071,0.07538475510717867,0.32110089446009926,0.13994830395106678,0.5979869515168088,0.0664612604332654,0.28253887025962515,0.1599028379858985,2460.8,865.4,466.8,365.6
all_epochs,advanced_respiratory,XGBoost,config_2,152,0.6836753468926756,0.056394860063641396,0.2738912812573561,0.1373032765511903,0.3912886097877107,0.1544264819347118,0.740449524017429,0.0816963381829845,0.3194931518319737,0.14320277140318868,0.5971929602629669,0.06908895099526678,0.28353091957087306,0.16419443919169874,2475.8,850.4,467.2,365.2
all_epochs,advanced_respiratory,XGBoost,config_3,152,0.6739993677925211,0.05588169082026327,0.2750899035178778,0.13022062267420118,0.435120766227765,0.17670981468124636,0.7140707644588946,0.091679145557539,0.3345185638608001,0.14891780620379144,0.6053156007178311,0.07434199337956073,0.2914320962561122,0.16577503924993225,2393.8,932.4,425.6,406.8
all_epochs,advanced_respiratory,XGBoost,config_4,152,0.6714255130706779,0.058002960549787805,0.27167447545848733,0.12850342544946025,0.4348120739600073,0.18383011126102253,0.7099621069703049,0.09763221307301923,0.33169697295299816,0.14991337104959798,0.6034732006971074,0.07669487220241948,0.28944399430068596,0.16751277063220998,2382.0,944.2,424.4,408.0
all_epochs,advanced_respiratory,XGBoost,config_5,152,0.7026122067041964,0.0572619614874365,0.2804885801695697,0.14095317258465684,0.3449792826669637,0.13146855408315483,0.7786946409597589,0.0723505731254572,0.3067624980733612,0.1325404411098633,0.5932281051024776,0.06174863080421997,0.2801197271346793,0.158582925740608,2600.0,726.2,511.6,320.8
all_epochs,advanced_respiratory,XGBoost,config_6,152,0.6777429947671502,0.057810795072296875,0.27414602920096887,0.13677832496009645,0.41106998200387856,0.16544121023308925,0.7267735038635593,0.08768967680115228,0.325832243429938,0.14784077266745413,0.5982976153927462,0.07276872359917666,0.285931497301522,0.1653561499120556,2431.4,894.8,448.0,384.4
all_epochs,advanced_respiratory_spo2,XGBoost,config_1,236,0.7117259345909941,0.09020389191544094,0.2926636034395376,0.12787102088336175,0.40077246355635393,0.2612514057488629,0.7600634647541091,0.14981591178156806,0.32841036378044824,0.17443052436341938,0.6155084938418768,0.07275751707717423,0.28997002749803713,0.17017761512849908,2561.2,765.0,434.2,398.2
all_epochs,advanced_respiratory_spo2,XGBoost,config_2,236,0.7123429002454882,0.08738159386170802,0.2837611000966943,0.1380977575029469,0.3901105667220218,0.2692981229039525,0.7626731895634526,0.14630656776088802,0.3198428933861826,0.18636449198759475,0.6174652634187132,0.07515693868836304,0.289269479121126,0.17232410139707993,2569.6,756.6,440.2,392.2
