regime,feature_variant,experiment,model,n_features,accuracy_mean,accuracy_std,precision_mean,precision_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,tn_mean,fp_mean,fn_mean,tp_mean
all_epochs,base,effort_only,XGBoost,22,0.5959159466209633,0.07644889736980756,0.2496126121174503,0.05799984105593206,0.4966972366693553,0.18388100800030682,0.6234717426441511,0.1351794609200173,0.3225602691441989,0.0603412557876956,0.5761626647139895,0.05121687505476314,0.24823536215174963,0.053404608607855196,2069.2,1257.0,422.6,409.8
all_epochs,base,flow_only,XGBoost,10,0.6260391594081536,0.07661915738404115,0.2664672572470982,0.031255950910548475,0.4766523637734489,0.1242025654075815,0.6631836579459858,0.12041199806839262,0.33404216407075504,0.03333908999584408,0.600668396343029,0.04336788617966538,0.27371278477321326,0.03504558380240309,2212.4,1113.8,439.2,393.2
all_epochs,base,full_core_fusion,XGBoost,53,0.6602037582025633,0.08380245011176232,0.2759763622904606,0.07784622517503335,0.4071329231076201,0.19871956552130499,0.7199271243474141,0.13791861366862504,0.31187505870215043,0.09353176219276439,0.5965639306347116,0.07480944783591502,0.2776168930146596,0.07644532202300917,2395.6,930.6,486.6,345.8
all_epochs,base,late_fusion,XGBoost,53,0.6828357788402167,0.09112170560292893,0.30254513745267186,0.06768196721911461,0.39905192893877856,0.19663194756252295,0.7538881965850635,0.15531091154244797,0.32221626276925147,0.07628977290298786,0.6210311735518346,0.050726737542211936,0.30333982542835775,0.06337274216107494,2507.2,819.0,500.6,331.8
all_epochs,base,respiratory_spo2_fusion,XGBoost,41,0.6296008412868197,0.08205600027109054,0.2724950363353802,0.03763023328122921,0.501406639978922,0.19368946025620568,0.661757967871176,0.1417337186365442,0.3419044216811095,0.0600007313437128,0.6200515796115463,0.049758633437405254,0.3046268004604634,0.08542922146363617,2201.8,1124.4,416.8,415.6
all_epochs,base,spo2_only,XGBoost,9,0.6384979594529726,0.0448020374637119,0.25969208607325833,0.06661799885173506,0.4613154893887358,0.17402041689463632,0.6780672035785956,0.0741130564084941,0.3296717891622318,0.10013727053371507,0.5822866019161956,0.08279848058360727,0.27974196314108457,0.09912253553294094,2258.6,1067.6,439.0,393.4
all_epochs,enhanced,effort_only,XGBoost,59,0.625636526726234,0.058160698419358295,0.2659011779359032,0.08140748492257992,0.48673733688277104,0.14520066474900886,0.6600669155178057,0.08972816118601934,0.33903783993857994,0.09112921344095923,0.595335826914123,0.07414071195524245,0.27401612434260175,0.09114395621886189,2188.4,1137.8,422.6,409.8
all_epochs,enhanced,flow_only,XGBoost,30,0.637494493011531,0.08063446402690126,0.2766822931456018,0.04736785129187033,0.489810755433266,0.18311918217271553,0.6734533077711278,0.1392081281340108,0.3420387031700501,0.06921449763573453,0.6327382432038429,0.055778087858543046,0.3018086729560433,0.05909404461458396,2250.2,1076.0,428.8,403.6
all_epochs,enhanced,full_core_fusion,XGBoost,151,0.6632733102667344,0.08719450236208755,0.30912801800128537,0.070063378870857,0.48884339009805444,0.18062186646378256,0.7032867400405702,0.1403938487186863,0.3618319975961362,0.06745080019767104,0.6343294801574162,0.07890590941326014,0.3246581168859374,0.08993723499081038,2343.6,982.6,421.0,411.4
all_epochs,enhanced,late_fusion,XGBoost,151,0.7037392791627652,0.07713182389666871,0.3334957296825116,0.060545069408609015,0.4351495598416587,0.21464275207324926,0.7687573709009619,0.1382240299907168,0.35416731850016286,0.09565860359585822,0.6686696443905491,0.07010158301487521,0.36067720789325086,0.12893861647890148,2559.0,767.2,466.2,366.2
all_epochs,enhanced,respiratory_spo2_fusion,XGBoost,127,0.6728432150591368,0.08361145464936579,0.3259990394901589,0.05770997570780082,0.5485545507426142,0.17679575463636105,0.7009542397620846,0.13200481548316997,0.39767772777111265,0.0685472800590958,0.6657025320107189,0.07364596434677409,0.35059688631252844,0.12526402422661626,2332.8,993.4,371.0,461.4
all_epochs,enhanced,spo2_only,XGBoost,38,0.6833823912340347,0.08144119016701787,0.32294229943333563,0.06823761789818907,0.506053484763497,0.2131853350385913,0.7212678855454444,0.1350019319463436,0.37981405884971664,0.10049518154482294,0.6640245992242504,0.08570232736657318,0.3482567863459942,0.14484460057922646,2399.8,926.4,396.8,435.6
sleep_only,base,effort_only,XGBoost,22,0.5931530814610003,0.04930019979826578,0.25984194986193426,0.06843550766231296,0.46981397169083283,0.16316174141448347,0.6271725140816775,0.09911213492332623,0.3290049387242908,0.0835240136774953,0.5643624267109166,0.0550805849318951,0.2636070678285401,0.07772839063296237,1566.0,950.0,366.6,330.8
sleep_only,base,flow_only,XGBoost,10,0.6458365598992482,0.0647563814091666,0.29274006681886333,0.02771522231538317,0.433278537633932,0.09450820797846199,0.7002346469323375,0.10027486601461001,0.3477904274092117,0.04802754838851561,0.5953649170805829,0.02359724519359875,0.2945174812348351,0.04684259715084344,1793.6,722.4,396.8,300.6
sleep_only,base,full_core_fusion,XGBoost,53,0.6557196167058728,0.03671206455849193,0.27068049068118044,0.06879409666809318,0.3679604798072344,0.15904214315690024,0.7323558430072268,0.07697742597059494,0.3083930365023659,0.10234620763329087,0.5834663358569061,0.0806337748555227,0.28409522546652827,0.08418624724613694,1857.8,658.2,439.0,258.4
