sleep_stage,n_epochs,n_positive,n_negative,tp,fp,fn,tn,fp_rate_among_actual_negative,fn_rate_among_actual_positive,positive_label_rate,predicted_positive_rate,mean_y_proba
1.0,3016,570,2446,393,975,177,1471,0.39860997547015536,0.3105263157894737,0.1889920424403183,0.4535809018567639,0.4482873905404767
2.0,3403,1026,2377,847,905,179,1472,0.38073201514514093,0.17446393762183235,0.3014986776373788,0.5148398471936526,0.4857197403356183
3.0,6985,1422,5563,876,1922,546,3641,0.3454970339744742,0.38396624472573837,0.20357909806728705,0.40057265569076594,0.43685252766153687
4.0,673,128,545,56,178,72,367,0.326605504587156,0.5625,0.1901931649331352,0.3476968796433878,0.4170169420529061
5.0,1990,341,1649,114,403,227,1246,0.24439053972104305,0.6656891495601173,0.171356783919598,0.25979899497487435,0.38581486009431337
