experiment,model,n_features,accuracy_mean,accuracy_std,precision_mean,precision_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,tn_mean,fp_mean,fn_mean,tp_mean,delta_roc_auc_vs_full,delta_f1_vs_full,delta_sensitivity_vs_full
full_core_fusion,XGBoost,53,0.6602037582025633,0.08380245011176232,0.2759763622904606,0.07784622517503335,0.4071329231076201,0.19871956552130499,0.7199271243474141,0.13791861366862504,0.31187505870215043,0.09353176219276439,0.5965639306347116,0.07480944783591502,0.2776168930146596,0.07644532202300917,2395.6,930.6,486.6,345.8,0.0,0.0,0.0
full_minus_ecg,XGBoost,41,0.6296008412868197,0.08205600027109054,0.2724950363353802,0.03763023328122921,0.501406639978922,0.19368946025620568,0.661757967871176,0.1417337186365442,0.3419044216811095,0.0600007313437128,0.6200515796115463,0.049758633437405254,0.3046268004604634,0.08542922146363617,2201.8,1124.4,416.8,415.6,0.023487648976834752,0.030029362978959084,0.09427371687130187
full_minus_flow,XGBoost,43,0.6624823221038323,0.08564791531916674,0.2788514415026727,0.0970970395896325,0.3963606119100124,0.17188121525343233,0.7252397175074959,0.13035175395063767,0.3124065245187858,0.10403643370592826,0.5863829958501047,0.08438579630069269,0.2777840684161716,0.08300828663735162,2408.4,917.8,492.6,339.8,-0.01018093478460691,0.0005314658166353792,-0.010772311197607742
full_minus_effort,XGBoost,31,0.6560524506197533,0.06386726742402339,0.27757149505909207,0.07278611392406459,0.42726454832891675,0.14278893053456976,0.7103710391533222,0.09542706483843177,0.32818044320682827,0.07818079663252107,0.597689068423312,0.08443145779484051,0.28548624139110773,0.07293981013109703,2364.8,961.4,472.4,360.0,0.001125137788600461,0.016305384504677833,0.020131625221296634
full_minus_spo2,XGBoost,44,0.6519583356771079,0.11920405885126677,0.2613619895803583,0.0572621162136865,0.3484507744405128,0.21831015557184424,0.7288932123516675,0.19642542747917324,0.26685640729510773,0.058805036303510194,0.5837300459553243,0.028551363778273213,0.24387904355327947,0.030614254921992982,2424.0,902.2,545.2,287.2,-0.012833884679387286,-0.0450186514070427,-0.0586821486671073
