experiment,components,postprocessing,smoothing_window_epochs,smoothing_centered,offline_retrospective,n_folds,n_epochs,n_records,accuracy_mean,accuracy_std,precision_mean,precision_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,tn_sum,fp_sum,fn_sum,tp_sum
cnn30_resnet_causal_121_mean,cnn_30s + resnet_150s,equal_mean_causal,121,False,True,5,16067,25,0.6697965358885483,0.10302265409912971,0.3150573332163208,0.122289477093838,0.458104459350423,0.23713625277672518,0.7269358467567684,0.16798087003308373,0.34399598090547745,0.1776296649006966,0.6213246873584268,0.08271925497724299,0.356254375554942,0.1503815543206265,9210,3370,1920,1567
cnn90_resnet_causal_121_mean,cnn_90s_context + resnet_150s,equal_mean_causal,121,False,True,5,16067,25,0.6793854365882666,0.0794997815871211,0.3378176759801536,0.10021581887135493,0.45328230652454116,0.142960532676175,0.739174810074078,0.10578527098246805,0.37913136142749665,0.11460522353961611,0.6151865124012584,0.0879673482223042,0.34562279197743534,0.15479315202833185,9358,3222,1920,1567
resnet_causal_121,resnet_150s,rolling_mean_causal,121,False,True,5,16067,25,0.6721426885320515,0.09844473791141507,0.36508938054640894,0.11849361288218666,0.48982964098904347,0.09952342969423518,0.7235563208092145,0.1391482838134781,0.40181012886470846,0.08326445412085004,0.6141441672401518,0.07178578411277135,0.34564858037784707,0.1309941852143798,9113,3467,1787,1700
cnn90_resnet_causal_31_mean,cnn_90s_context + resnet_150s,equal_mean_causal,31,False,True,5,16067,25,0.6573550366716312,0.0808961360884425,0.3216570700850276,0.0846391608835379,0.47648487344605517,0.13360064796908477,0.7061406435674907,0.10754009548758085,0.37674709227477365,0.09721303017727342,0.6061274853947882,0.07844339969591778,0.31542286429417976,0.12181457703474109,8945,3635,1840,1647
resnet_causal_61,resnet_150s,rolling_mean_causal,61,False,True,5,16067,25,0.6414002656905635,0.09210484925297242,0.32414467775582656,0.09075590809427841,0.4856448445743949,0.10827905438150852,0.6864679301286153,0.13882642675820206,0.37433879536506515,0.06447999434914597,0.6022409905873872,0.06704193549349874,0.30944525237183057,0.10420606042998659,8641,3939,1805,1682
