experiment,model,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
ecg_only,XGBoost,max_f1,0.25,0.34920405905833696,0.2159917555771096,0.8560788082652571,0.22235584150081172,0.34495110852938327,3698,12933,599,3563,0.07843464976606884,
ecg_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.3,0.395854374068196,0.21962616822429906,0.790485343584815,0.2970957849798569,0.3437467349284296,4941,11690,872,3290,0.08758112856467193,
ecg_only,XGBoost,max_youden,0.3,0.395854374068196,0.21962616822429906,0.790485343584815,0.2970957849798569,0.3437467349284296,4941,11690,872,3290,0.08758112856467193,
effort_only,XGBoost,max_f1,0.4,0.42653777713653634,0.220066358915176,0.733061028351754,0.34982863327520897,0.338511039609453,5818,10813,1111,3051,0.08288966162696298,
effort_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.42653777713653634,0.220066358915176,0.733061028351754,0.34982863327520897,0.338511039609453,5818,10813,1111,3051,0.08288966162696298,
effort_only,XGBoost,max_youden,0.5,0.596114076852787,0.2458603311735061,0.49231138875540603,0.6220912753292045,0.3279449423815621,10346,6285,2113,2049,0.11440266408461053,
flow_only,XGBoost,max_f1,0.45,0.543404030202472,0.24251497005988024,0.6033157135992311,0.5284107991100956,0.3459630752273354,8788,7843,1651,2511,0.13172651270932656,
flow_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.45207521762131486,0.22711148011170654,0.7229697260932244,0.38428236425951534,0.34564355866980645,6391,10240,1153,3009,0.10725209035273986,
flow_only,XGBoost,max_youden,0.5,0.6265570143798393,0.26091572660915724,0.4723690533397405,0.6651434068907462,0.3361545695477473,11062,5569,2196,1966,0.1375124602304867,
full_core_fusion,LogisticRegression,max_f1,0.4,0.4687635261866974,0.2307993117472235,0.7090341182123979,0.40863447778245443,0.3482416804342695,6796,9835,1211,2951,0.11766859599485224,
full_core_fusion,LogisticRegression,sensitivity_ge_0.70_max_specificity,0.4,0.4687635261866974,0.2307993117472235,0.7090341182123979,0.40863447778245443,0.3482416804342695,6796,9835,1211,2951,0.11766859599485224,
full_core_fusion,LogisticRegression,max_youden,0.55,0.673832539797047,0.28268082282680823,0.4094185487746276,0.7400036077205219,0.33444553483807654,12307,4324,2458,1704,0.14942215649514945,
full_core_fusion,RandomForest,max_f1,0.2,0.48073871014283653,0.22603022545214305,0.6576165305141759,0.4364740544765799,0.33642677155675743,7259,9372,1425,2737,0.09409058499075584,
full_core_fusion,RandomForest,sensitivity_ge_0.70_max_specificity,0.15,0.32207954600105804,0.20431003690915586,0.8246035559827006,0.19632012506764476,0.32748091603053436,3265,13366,730,3432,0.020923681050345477,
full_core_fusion,RandomForest,max_youden,0.25,0.6412254123984034,0.26429388221841055,0.4442575684766939,0.6905177078948951,0.33142140168488976,11484,5147,2313,1849,0.13477527637158904,
full_core_fusion,XGBoost,max_f1,0.3,0.3886885009378156,0.2192815393708544,0.8022585295530995,0.28519030725753114,0.3444220950023209,4743,11888,823,3339,0.08744883681063076,
