experiment,model,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp
full_minus_effort,XGBoost,0.95,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
full_minus_flow,XGBoost,0.05,0.2048285480690617,0.20055184432181236,0.9954348870735223,0.006974926342372677,0.3338436744560838,116,16515,19,4143
full_minus_flow,XGBoost,0.1,0.22084355311883808,0.20056707954036712,0.9687650168188371,0.03367205820455775,0.33233051720585205,560,16071,130,4032
full_minus_flow,XGBoost,0.15,0.2391670273649786,0.20089285714285715,0.9406535319557905,0.06361613853646804,0.3310782241014799,1058,15573,247,3915
full_minus_flow,XGBoost,0.2,0.27249555138748616,0.20347233490183353,0.9038923594425757,0.11448499789549636,0.3321707650876341,1904,14727,400,3762
full_minus_flow,XGBoost,0.25,0.31813591112393597,0.2079542803825519,0.8567996155694377,0.18333233118874392,0.3346785546691694,3049,13582,596,3566
full_minus_flow,XGBoost,0.3,0.37310633386235753,0.2126060763101639,0.7885631907736665,0.2691359509350009,0.33491504668605543,4476,12155,880,3282
full_minus_flow,XGBoost,0.35,0.440773337180782,0.22183308494783904,0.7152811148486304,0.3720762431603632,0.33864179274257766,6188,10443,1185,2977
full_minus_flow,XGBoost,0.4,0.5147405376809503,0.23234603575943652,0.6182123978856319,0.48884613071974026,0.3377526909950118,8130,8501,1589,2573
full_minus_flow,XGBoost,0.45,0.5886596450728611,0.24778862722573233,0.5182604517059106,0.6062774337081354,0.33527628817906274,10083,6548,2005,2157
full_minus_flow,XGBoost,0.5,0.6608474005674987,0.2701972010178117,0.40821720326765976,0.7240695087487222,0.32516746411483255,12042,4589,2463,1699
full_minus_flow,XGBoost,0.55,0.7174529889866782,0.2948502994011976,0.2957712638154733,0.8229811797246107,0.2953100635720283,13687,2944,2931,1231
full_minus_flow,XGBoost,0.6,0.7549175203193382,0.3148295003965107,0.19077366650648728,0.8960976489687932,0.23758228605625373,14903,1728,3368,794
full_minus_flow,XGBoost,0.65,0.7777136536334344,0.335243553008596,0.11244593945218645,0.9442005892610186,0.16840590140338252,15703,928,3694,468
full_minus_flow,XGBoost,0.7,0.7942095897657866,0.4143484626647145,0.0679961556943777,0.9759485298538874,0.11682146542827658,16231,400,3879,283
full_minus_flow,XGBoost,0.75,0.799163179916318,0.47635135135135137,0.033877943296492075,0.9906800553183813,0.063257065948856,16476,155,4021,141
full_minus_flow,XGBoost,0.8,0.8007021593805608,0.6125,0.011773185968284479,0.9981360110636762,0.0231023102310231,16600,31,4113,49
full_minus_flow,XGBoost,0.85,0.7998364834319242,0.5,0.0007208073041806823,0.9998196139739042,0.0014395393474088292,16628,3,4159,3
full_minus_flow,XGBoost,0.9,0.7998845765401817,1.0,0.0002402691013935608,1.0,0.00048042277203939464,16631,0,4161,1
full_minus_flow,XGBoost,0.95,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
full_minus_spo2,XGBoost,0.05,0.20891646227095656,0.20094436060945334,0.9918308505526189,0.012987793878900847,0.33418336369156043,216,16415,34,4128
full_minus_spo2,XGBoost,0.1,0.23719520992641754,0.20431683768892483,0.9711677078327727,0.05351452107510071,0.33760701607851323,890,15741,120,4042
full_minus_spo2,XGBoost,0.15,0.2698504304333189,0.20824949698189135,0.9449783757808746,0.1008959172629427,0.3412877473099618,1678,14953,229,3933
full_minus_spo2,XGBoost,0.2,0.30943105852931274,0.21371216800494133,0.9144641999038924,0.15801815885996032,0.3464566929133858,2628,14003,356,3806
full_minus_spo2,XGBoost,0.25,0.35675467705477804,0.21950922486756377,0.8661701105237867,0.22927063916781915,0.3502550400777265,3813,12818,557,3605
full_minus_spo2,XGBoost,0.3,0.41047467897850237,0.22470076169749728,0.7938491110043249,0.3145331008357886,0.3502597264921022,5231,11400,858,3304
full_minus_spo2,XGBoost,0.35,0.4711200884913192,0.22917822331405024,0.6948582412301778,0.4151283747219049,0.34467552589237826,6904,9727,1270,2892
full_minus_spo2,XGBoost,0.4,0.5364786226133795,0.2346384958325257,0.5816914944738106,0.5251638506403704,0.3343922651933702,8734,7897,1741,2421
full_minus_spo2,XGBoost,0.45,0.595296494012408,0.23827692307692308,0.4651609802979337,0.6278636281642715,0.315129811996419,10442,6189,2226,1936
full_minus_spo2,XGBoost,0.5,0.6519501755398451,0.241466285522112,0.3450264296011533,0.7287595454272142,0.28410327431002075,12120,4511,2726,1436
full_minus_spo2,XGBoost,0.55,0.6986966767662194,0.24081833867389696,0.23474291206150888,0.8148036798749324,0.23774181773938435,13551,3080,3185,977
full_minus_spo2,XGBoost,0.6,0.7375559082383495,0.24517906336088155,0.14968765016818836,0.8846732006493897,0.18588691630613158,14713,1918,3539,623
full_minus_spo2,XGBoost,0.65,0.7663155869763862,0.2472806381435823,0.08193176357520422,0.9375864349708376,0.12308247608734886,15593,1038,3821,341
full_minus_spo2,XGBoost,0.7,0.7845909681142692,0.23973727422003285,0.035079288803459875,0.9721604233058746,0.06120310207503668,16168,463,4016,146
full_minus_spo2,XGBoost,0.75,0.7943057759823018,0.2300469483568075,0.011773185968284479,0.9901388972400939,0.0224,16467,164,4113,49
full_minus_spo2,XGBoost,0.8,0.7982013177511662,0.18518518518518517,0.002402691013935608,0.9973543382839276,0.004743833017077799,16587,44,4152,10
full_minus_spo2,XGBoost,0.85,0.7994036454576059,0.0,0.0,0.9994588419217124,0.0,16622,9,4162,0
full_minus_spo2,XGBoost,0.9,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
full_minus_spo2,XGBoost,0.95,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
late_fusion,XGBoost,0.05,0.2001635165680758,0.2001635165680758,1.0,0.0,0.3335604087357243,0,16631,0,4162
late_fusion,XGBoost,0.1,0.2001635165680758,0.2001635165680758,1.0,0.0,0.3335604087357243,0,16631,0,4162
late_fusion,XGBoost,0.15,0.20045207521762132,0.2001924464758239,0.9997597308986065,0.0004209007275569719,0.3335872048743336,7,16624,1,4161
