input_mode,input_shape,offline_retrospective,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index
cnn_30s,4x240,False,max_f1,0.4,0.45241799962656376,0.24175824175824176,0.7129337539432177,0.3802066772655008,0.36107480029048655,4783,7797,1001,2486,0.09314043120871851
cnn_30s,4x240,False,max_youden,0.5,0.6055268562892886,0.27093041941185925,0.48351018067106394,0.6393481717011129,0.3472708547888774,8043,4537,1801,1686,0.1228583523721769
cnn_30s,4x240,False,sensitivity_ge_0_70_max_specificity,0.4,0.45241799962656376,0.24175824175824176,0.7129337539432177,0.3802066772655008,0.36107480029048655,4783,7797,1001,2486,0.09314043120871851
cnn_90s_context,4x720,True,max_f1,0.4,0.5180805377481795,0.26265893374972116,0.6753656438199025,0.474483306836248,0.3782221151529752,5969,6611,1132,2355,0.14984895065615045
cnn_90s_context,4x720,True,max_youden,0.45,0.5922076305470841,0.28166405470864797,0.5669630054488098,0.5992050874403816,0.3763563677898344,7538,5042,1510,1977,0.16616809288919132
cnn_90s_context,4x720,True,sensitivity_ge_0_70_max_specificity,0.35,0.4484346797784278,0.24484952055444792,0.7396042443361055,0.36772655007949123,0.3679029957203994,4626,7954,908,2579,0.10733079441559679
