regime,window_set,feature_set,model,config_name,n_features,accuracy_mean,precision_mean,sensitivity_mean,specificity_mean,f1_mean,roc_auc_mean,average_precision_mean,accuracy_std,precision_std,sensitivity_std,specificity_std,f1_std,roc_auc_std,average_precision_std,tn_sum,fp_sum,fn_sum,tp_sum
all_records_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,46,0.8455213560842314,0.19990149999125253,0.01251454920970401,0.9903519551139258,0.023381510429710248,0.5609301686750332,0.18362851074098563,0.04775692892867396,0.12325473762998919,0.008670542270174553,0.0046448376861785825,0.01603141078984849,0.07305808264327959,0.07903029715698283,80578,788,13971,207
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,46,0.6414573046962332,0.1931881160795709,0.4402138711998903,0.6632082346765549,0.26607959297821626,0.5733581091436849,0.2005630446602335,0.0995188809127122,0.0868495385281077,0.197630183829805,0.13873954461458973,0.11772375163684476,0.09145119260134699,0.0985095921781561,54357,27009,7233,6945
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,46,0.6347440817124307,0.19301328705031068,0.45196663230816336,0.6528034784054662,0.26776494766682024,0.578522704974243,0.207655868205872,0.1036014559633699,0.08556315306828559,0.20093651427418766,0.14639115893358282,0.11670715723463136,0.10011640041823108,0.11416519997921944,53589,27777,7070,7108
all_records_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,57,0.84813980455027,0.21460630976348255,0.008279981349769613,0.9943233480786227,0.015761616598433333,0.5596927324957967,0.17922221804573182,0.04804420368302432,0.11009017407520769,0.006484408456464569,0.004266124360528859,0.012175938248414928,0.06766187635166349,0.07615986636788816,80877,489,14038,140
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,57,0.6179987552898154,0.17123700258603666,0.42017341870542124,0.6383599068442628,0.2422793286811004,0.5557875581140606,0.18979829458040132,0.09916762262608325,0.07114749267956313,0.19071945874504537,0.14564601431516086,0.10318147819177861,0.0704022787725516,0.09643236270955163,52524,28842,7546,6632
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,57,0.6016675749484846,0.16954863994420052,0.44262022623984965,0.6152345866530986,0.24409169887536022,0.5574827095981222,0.19507788569315265,0.09860737726456408,0.06897700278844361,0.18972819694965673,0.14828035563747682,0.10041511903946451,0.0768075637366276,0.11242218871458641,50718,30648,7247,6931
all_records_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,46,0.7073676689897036,0.38363579000980763,0.09428195361572068,0.9396950670638266,0.14182765029528763,0.571070571803539,0.3356241526814298,0.04263723683842911,0.12166145143078803,0.06448366181805797,0.04458937897202183,0.07629148006340578,0.0859437074950796,0.09395163776168085,32187,2110,11679,1195
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,46,0.6213479570725108,0.34270403682437206,0.44031001229823596,0.6875466723868752,0.38009538777143403,0.578289863525922,0.34845097733275104,0.043317826773602824,0.10271053019002724,0.16776941750682753,0.0661254670899183,0.11935807513985507,0.09136348581655059,0.10829523375633689,23576,10721,7212,5662
all_records_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,46,0.6201486735948023,0.3491954407751639,0.47574559601489064,0.6714449439574317,0.3995217294453281,0.5939437785152546,0.37241679394577004,0.041935595176091425,0.09872486707066006,0.1596488567353895,0.048921840725190076,0.1136097180334002,0.0960628488844865,0.1253899940841182,23092,11205,6758,6116
all_records_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,57,0.7124449594582821,0.3517192634193817,0.07206276933108106,0.9547193346821882,0.11171598491470322,0.586906998235724,0.34272376241144376,0.0452166552352366,0.09708255060317594,0.06735724906136636,0.03435514455948909,0.08583858540862314,0.0906910734174312,0.09736560016518135,32737,1560,11962,912
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,57,0.6320320352343479,0.3554959384793026,0.4294204105328302,0.7085442299271041,0.3807262771211286,0.5900384632387187,0.3543679810639573,0.04047174436299858,0.11104390629141074,0.16668821842341278,0.07180134103154898,0.11573562381301893,0.09597218841619526,0.11509008920459633,24286,10011,7403,5471
all_records_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,57,0.6235194039312584,0.3558781072370282,0.4603922899775653,0.6861454589440824,0.393512532133509,0.5935732462836804,0.36794233035054624,0.037673791043334855,0.10573385821777045,0.15746354912589963,0.06411375000517103,0.1064713762748747,0.10172676513740767,0.1338433920510926,23510,10787,7027,5847
exclude_ucddb005_sleep_only,window_10s,flow_spo2,ExtraTrees,extra_trees,46,0.8381204489180203,0.2299372837568959,0.010238981027159293,0.9919928293601107,0.018838154577936653,0.5886133885476121,0.20691753596674922,0.048008705206193165,0.16031945157795016,0.007034277498204786,0.006788100635189283,0.012252287221142537,0.05950771580651577,0.08997341285737014,77857,688,13791,147
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,46,0.6648886295585189,0.2342609637837818,0.4507909312401215,0.7060948750292654,0.29844306232785484,0.6001987566502862,0.225563539491279,0.04821873470557861,0.11026175133917872,0.07854376030916815,0.0649721186929155,0.11480399395091506,0.06886768056904737,0.10584080433829267,54605,23940,7453,6485
exclude_ucddb005_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,46,0.6601958953775993,0.2365948303174552,0.47169904421565667,0.696233537042542,0.3057395597653082,0.605119469601193,0.23452052626809244,0.05196758530063662,0.11219291606012746,0.07528894503387283,0.06548235102041773,0.11967947199353525,0.07239380461197052,0.11554374981275736,53773,24772,7139,6799
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,57,0.8399907623287778,0.23631704660648434,0.007461883828192853,0.9946151679858499,0.013980154524817278,0.5899855035463434,0.20913522935570272,0.04994305358049853,0.15103847406421222,0.006210191796366632,0.005664986085118027,0.011031486229698989,0.05877843263224844,0.09242195508438328,78088,457,13831,107
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,57,0.6482909263980361,0.22628092087741397,0.44526086633714196,0.6882201047614076,0.2851162682120985,0.5911162094872386,0.21816292683929936,0.08722589321262669,0.11233410045061351,0.12166885984816618,0.12509778166158622,0.10776167741806132,0.061380915503950514,0.10097652934249876,53213,25332,7567,6371
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,57,0.6286536294850432,0.22350494485325237,0.4815633792030063,0.6577813826267491,0.2921652938244562,0.5967442930334006,0.22588517662464222,0.09264786632379603,0.11027183170795742,0.10911161995475319,0.12625966279452527,0.11281572126841076,0.06979149821214668,0.11133391274839598,50720,27825,7035,6903
exclude_ucddb005_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,46,0.6943092314005685,0.3013769212297704,0.0571397171270263,0.9431109607723392,0.09163178210907345,0.5161980567802382,0.29871070438716696,0.08461224598467149,0.18556797321212307,0.02622510892072585,0.03036031224094006,0.038743178761413796,0.060733835397002105,0.1400556518504061,31130,1903,11881,751
