error_type,n_epochs,spo2_mean_mean,spo2_mean_median,spo2_min_mean,spo2_min_median,spo2_std_mean,spo2_std_median,spo2_drop_from_median_mean,spo2_drop_from_median_median,spo2_below_90_ratio_mean,spo2_below_90_ratio_median,spo2_below_92_ratio_mean,spo2_below_92_ratio_median,flow_low_amplitude_ratio_mean,flow_low_amplitude_ratio_median,roll3_max_flow_low_amplitude_ratio_mean,roll3_max_flow_low_amplitude_ratio_median,roll3_min_spo2_min_mean,roll3_min_spo2_min_median,roll3_mean_spo2_mean_mean,roll3_mean_spo2_mean_median,effort_corr_mean,effort_corr_median,ecg_hr_mean_mean,ecg_hr_mean_median
FN,1201,92.60773275441676,92.80051587301588,91.62796448624924,92.04932844932844,0.590810840349824,0.4551457287197566,1.007681937823487,0.8527472527472497,0.10274424091035247,0.0,0.2933007216208715,0.0,0.10923535942270328,0.075,0.13774285317790727,0.0916666666666666,91.02960556882289,91.64664224664224,92.60138802334265,92.79242266992264,0.5497605559961655,0.6758900922092401,77.35117549618369,69.5392809587217
FP,4383,91.54520416248597,92.0725223850224,89.5977815134029,90.08327228327228,1.2171550973747052,0.8871220787010756,1.9459319974941354,1.2791208791208817,0.2665510644688358,0.0,0.4937048092429231,0.5,0.15569339873754653,0.1041666666666666,0.1990997414252034,0.1416666666666666,88.52890080247306,88.94627594627595,91.52054231627726,92.02356837606838,0.5559106806230428,0.6495080919865603,88.86949595150982,80.71139854486661
TN,8197,92.48787686313842,92.635,91.60616611575617,92.0019536019536,0.529755815107955,0.43358866827300246,0.9031090391632118,0.8290598290598297,0.07576486460425744,0.0,0.291984158568793,0.0,0.1129707006628441,0.075,0.1406007279085844,0.0916666666666666,91.02727261216953,91.57557997557996,92.47538648124913,92.63457231040564,0.5451627284924973,0.7027417887755811,80.30677624059066,73.41476367498672
TP,2286,91.49046155413285,92.11308709808708,88.79818498357675,89.7990231990232,1.6569223233700539,1.167697893092862,2.76483300281441,2.0134310134310027,0.24801618442056692,0.075,0.47585935718405836,0.4666666666666667,0.22391550014581507,0.1541666666666666,0.28564632545931756,0.2083333333333333,87.41436355176407,88.59096459096459,91.39958722233986,91.8911984466151,0.4793241000965776,0.5732139947478436,88.65543556609744,80.3282650625932
