input_mode,input_shape,offline_retrospective,fold_source,n_folds,n_epochs,n_records,best_epoch_mean,best_epoch_std,accuracy_mean,accuracy_std,precision_mean,precision_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,tn_sum,fp_sum,fn_sum,tp_sum
cnn_90s_context,4x720,True,saved improved baseline folds,5,16067,25,5.2,4.791659420284375,0.645177596570786,0.05643448977822308,0.29028367349882755,0.056776674088666164,0.440020149721593,0.15625447466078343,0.6950793772973339,0.09764067467686077,0.34531688132916816,0.0866538056330863,0.5952921198034931,0.07525445484496714,0.2934293640801112,0.10180171988185406,8913,3667,1957,1530
cnn_30s,4x240,False,saved improved baseline folds,5,16067,25,3.8,3.4871191548325386,0.6034469228835965,0.08847789237366671,0.2716931510207291,0.07428441389005845,0.4914814737398429,0.2166140605225726,0.6333210221062411,0.15185852029203845,0.3325897191661286,0.1159991322567139,0.5777739189315717,0.07263424152154377,0.27940345748231205,0.0994001453754544,8043,4537,1801,1686
